,Date,State,Confirmed,Recovered,Deaths
202,2020-03-10,Indiana,6.0,0.0,0.0
203,2020-03-10,Iowa,8.0,0.0,0.0
204,2020-03-10,Kansas,1.0,0.0,0.0
205,2020-03-10,Kentucky,6.0,0.0,0.0
206,2020-03-10,Louisiana,1.0,0.0,0.0
207,2020-03-10,Maine,0.0,0.0,0.0
208,2020-03-10,Maryland,8.0,0.0,0.0
209,2020-03-10,Massachusetts,92.0,1.0,0.0
210,2020-03-10,Michigan,0.0,0.0,0.0
211,2020-03-10,Minnesota,3.0,0.0,0.0
212,2020-03-10,Mississippi,0.0,0.0,0.0
213,2020-03-10,Missouri,1.0,0.0,0.0
214,2020-03-10,Montana,0.0,0.0,0.0
215,2020-03-10,Nebraska,3.0,0.0,0.0
216,2020-03-10,Nevada,4.0,0.0,0.0
217,2020-03-10,New Hampshire,4.0,0.0,0.0
218,2020-03-10,New Jersey,15.0,0.0,1.0
219,2020-03-10,New Mexico,0.0,0.0,0.0
220,2020-03-10,New York,173.0,0.0,0.0
221,2020-03-10,North Carolina,7.0,0.0,0.0
222,2020-03-10,North Dakota,0.0,0.0,0.0
223,2020-03-10,Ohio,3.0,0.0,0.0
224,2020-03-10,Oklahoma,2.0,0.0,0.0
225,2020-03-10,Oregon,15.0,0.0,0.0
226,2020-03-10,Pennsylvania,12.0,0.0,0.0
227,2020-03-10,Rhode Island,3.0,0.0,0.0
228,2020-03-10,South Carolina,7.0,0.0,0.0
229,2020-03-10,South Dakota,0.0,0.0,0.0
230,2020-03-10,Tennessee,7.0,0.0,0.0
231,2020-03-10,Texas,13.0,0.0,0.0
232,2020-03-10,Utah,2.0,0.0,0.0
233,2020-03-10,Vermont,1.0,0.0,0.0
234,2020-03-10,Virginia,7.0,0.0,0.0
235,2020-03-10,Washington,267.0,1.0,23.0
236,2020-03-10,West Virginia,0.0,0.0,0.0
237,2020-03-10,Wisconsin,3.0,1.0,0.0
238,2020-03-10,Wyoming,0.0,0.0,0.0
239,2020-03-11,Alaska,0.0,0.0,0.0
240,2020-03-11,Arizona,9.0,1.0,0.0
241,2020-03-11,Arkansas,1.0,0.0,0.0
242,2020-03-11,California,177.0,2.0,3.0
243,2020-03-11,Colorado,34.0,0.0,0.0
244,2020-03-11,Connecticut,3.0,0.0,0.0
245,2020-03-11,Delaware,1.0,0.0,0.0
246,2020-03-11,District of Columbia,10.0,0.0,0.0
247,2020-03-11,Florida,28.0,0.0,2.0
248,2020-03-11,Georgia,23.0,0.0,0.0
249,2020-03-11,Hawaii,2.0,0.0,0.0
250,2020-03-11,Idaho,0.0,0.0,0.0
251,2020-03-11,Illinois,25.0,2.0,0.0
252,2020-03-11,Indiana,11.0,0.0,0.0
253,2020-03-11,Iowa,13.0,0.0,0.0
254,2020-03-11,Kansas,1.0,0.0,0.0
255,2020-03-11,Kentucky,8.0,0.0,0.0
256,2020-03-11,Louisiana,6.0,0.0,0.0
257,2020-03-11,Maine,0.0,0.0,0.0
258,2020-03-11,Maryland,9.0,0.0,0.0
259,2020-03-11,Massachusetts,95.0,1.0,0.0
260,2020-03-11,Michigan,2.0,0.0,0.0
261,2020-03-11,Minnesota,5.0,0.0,0.0
262,2020-03-11,Mississippi,0.0,0.0,0.0
263,2020-03-11,Missouri,1.0,0.0,0.0
264,2020-03-11,Montana,1.0,0.0,0.0
265,2020-03-11,Nebraska,5.0,0.0,0.0
266,2020-03-11,Nevada,7.0,0.0,0.0
267,2020-03-11,New Hampshire,5.0,0.0,0.0
268,2020-03-11,New Jersey,23.0,0.0,1.0
269,2020-03-11,New Mexico,3.0,0.0,0.0
270,2020-03-11,New York,220.0,0.0,0.0
271,2020-03-11,North Carolina,7.0,0.0,0.0
272,2020-03-11,North Dakota,0.0,0.0,0.0
273,2020-03-11,Ohio,4.0,0.0,0.0
274,2020-03-11,Oklahoma,2.0,0.0,0.0
275,2020-03-11,Oregon,19.0,0.0,0.0
276,2020-03-11,Pennsylvania,16.0,0.0,0.0
277,2020-03-11,Rhode Island,5.0,0.0,0.0
278,2020-03-11,South Carolina,10.0,0.0,0.0
279,2020-03-11,South Dakota,8.0,0.0,1.0
280,2020-03-11,Tennessee,9.0,0.0,0.0
281,2020-03-11,Texas,21.0,0.0,0.0
282,2020-03-11,Utah,3.0,0.0,0.0
283,2020-03-11,Vermont,1.0,0.0,0.0
284,2020-03-11,Virginia,9.0,0.0,0.0
285,2020-03-11,Washington,366.0,1.0,29.0
286,2020-03-11,West Virginia,0.0,0.0,0.0
287,2020-03-11,Wisconsin,6.0,1.0,0.0
288,2020-03-11,Wyoming,0.0,0.0,0.0
289,2020-03-12,Alaska,0.0,0.0,0.0
290,2020-03-12,Arizona,9.0,1.0,0.0
291,2020-03-12,Arkansas,6.0,0.0,0.0
292,2020-03-12,California,221.0,6.0,4.0
293,2020-03-12,Colorado,45.0,0.0,0.0
294,2020-03-12,Connecticut,5.0,0.0,0.0
295,2020-03-12,Delaware,1.0,0.0,0.0
296,2020-03-12,District of Columbia,10.0,0.0,0.0
297,2020-03-12,Florida,35.0,0.0,2.0
298,2020-03-12,Georgia,31.0,0.0,1.0
299,2020-03-12,Hawaii,2.0,0.0,0.0
300,2020-03-12,Idaho,0.0,0.0,0.0
301,2020-03-12,Illinois,32.0,2.0,0.0
302,2020-03-12,Indiana,13.0,0.0,0.0
303,2020-03-12,Iowa,16.0,0.0,0.0
304,2020-03-12,Kansas,1.0,0.0,0.0
305,2020-03-12,Kentucky,10.0,0.0,0.0
306,2020-03-12,Louisiana,19.0,0.0,0.0
307,2020-03-12,Maine,0.0,0.0,0.0
308,2020-03-12,Maryland,12.0,0.0,0.0
309,2020-03-12,Massachusetts,108.0,1.0,0.0
310,2020-03-12,Michigan,2.0,0.0,0.0
311,2020-03-12,Minnesota,9.0,0.0,0.0
312,2020-03-12,Mississippi,1.0,0.0,0.0
313,2020-03-12,Missouri,1.0,0.0,0.0
314,2020-03-12,Montana,1.0,0.0,0.0
315,2020-03-12,Nebraska,10.0,0.0,0.0
316,2020-03-12,Nevada,14.0,0.0,0.0
317,2020-03-12,New Hampshire,6.0,0.0,0.0
318,2020-03-12,New Jersey,29.0,0.0,1.0
319,2020-03-12,New Mexico,5.0,0.0,0.0
320,2020-03-12,New York,328.0,0.0,0.0
321,2020-03-12,North Carolina,15.0,0.0,0.0
322,2020-03-12,North Dakota,1.0,0.0,0.0
323,2020-03-12,Ohio,5.0,0.0,0.0
324,2020-03-12,Oklahoma,2.0,0.0,0.0
325,2020-03-12,Oregon,24.0,0.0,0.0
326,2020-03-12,Pennsylvania,22.0,0.0,0.0
327,2020-03-12,Rhode Island,5.0,0.0,0.0
328,2020-03-12,South Carolina,12.0,0.0,0.0
329,2020-03-12,South Dakota,8.0,0.0,1.0
330,2020-03-12,Tennessee,18.0,0.0,0.0
331,2020-03-12,Texas,27.0,0.0,0.0
332,2020-03-12,Utah,5.0,0.0,0.0
333,2020-03-12,Vermont,2.0,0.0,0.0
334,2020-03-12,Virginia,17.0,0.0,0.0
335,2020-03-12,Washington,442.0,1.0,31.0
336,2020-03-12,West Virginia,0.0,0.0,0.0
337,2020-03-12,Wisconsin,8.0,1.0,0.0
338,2020-03-12,Wyoming,1.0,0.0,0.0
339,2020-03-13,Alabama,5.0,0.0,0.0
340,2020-03-13,Alaska,1.0,0.0,0.0
341,2020-03-13,Arizona,9.0,1.0,0.0
342,2020-03-13,Arkansas,6.0,0.0,0.0
343,2020-03-13,California,282.0,6.0,4.0
